id,text,isRetweet,isDeleted,device,favorites,retweets,date,isFlagged
98454970654916608,Republicans and Democrats have both created our economic problems.,FALSE,FALSE,TweetDeck,49,255,2011-08-02T18:07:48Z,FALSE
336155055575150600,@RebaForever58   Yes.,FALSE,FALSE,Twitter for Android,0,1,2013-05-19T16:23:05Z,FALSE
274563166384582660,@sbowlin1  Thanks--you will love it.,FALSE,FALSE,Twitter Web Client,1,4,2012-11-30T17:18:54Z,FALSE
274562988646727680,@RevRome83 @CelebApprentice @bretmichaels You won't be disappointed!,FALSE,FALSE,Twitter Web Client,0,3,2012-11-30T17:18:12Z,FALSE
284759862976581630,@WandaSalley  Thanks--have fun!,FALSE,FALSE,Twitter Web Client,1,2,2012-12-28T20:36:56Z,FALSE
276330914991181820,@bf2088 Thanks--and good luck.,FALSE,FALSE,Twitter Web Client,0,3,2012-12-05T14:23:18Z,FALSE
271007755064721400,@MichaelRubinton Work hard!,FALSE,FALSE,Twitter Web Client,2,4,2012-11-20T21:50:58Z,FALSE
273825930617700350,@utxgent  Thanks,FALSE,FALSE,Twitter Web Client,0,4,2012-11-28T16:29:23Z,FALSE
265852510017822720,@SpencerLJackson  Yes!,FALSE,FALSE,Twitter Web Client,77,30,2012-11-06T16:25:52Z,FALSE
301777744402993150,@mrdemain27 Thanks Darren.,FALSE,FALSE,Twitter Web Client,2,2,2013-02-13T19:39:55Z,FALSE
398107017480396800,@rrpsllc  Thank you.,FALSE,FALSE,Twitter Web Client,1,1,2013-11-06T15:18:04Z,FALSE
389777571451133950,@905K9 Thanks.,FALSE,FALSE,Twitter Web Client,1,2,2013-10-14T15:39:49Z,FALSE
387573631917629440,@Jon_dennis82 @Redskins  True.,FALSE,FALSE,Twitter Web Client,4,3,2013-10-08T13:42:09Z,FALSE
377838355297206300,@ewilli1204  Thanks!,FALSE,FALSE,Twitter Web Client,0,1,2013-09-11T16:57:38Z,FALSE
377873482907803650,@Alan_Saranga Thanks.,FALSE,FALSE,Twitter Web Client,47,5,2013-09-11T19:17:13Z,FALSE
376504339067858940,@mathewaiken Great!,FALSE,FALSE,Twitter for Android,1,3,2013-09-08T00:36:44Z,FALSE
375348343234256900,@TylerKrist734  Thanks.,FALSE,FALSE,Twitter Web Client,2,3,2013-09-04T20:03:13Z,FALSE
372719609058586600,@PeterThiele  Thanks Peter.,FALSE,FALSE,Twitter Web Client,1,2,2013-08-28T13:57:34Z,FALSE
357211784341491700,@ajshaw1003 Great!,FALSE,FALSE,Twitter Web Client,0,1,2013-07-16T18:55:00Z,FALSE
353579238424707100,@TheRealKurse     So true!,FALSE,FALSE,Twitter for Android,0,1,2013-07-06T18:20:34Z,FALSE
336493196693614600,@Itsyknowsbest Thanks!,FALSE,FALSE,Twitter Web Client,0,1,2013-05-20T14:46:44Z,FALSE
329206782465556500,@Colvio117  Thanks!,FALSE,FALSE,Twitter for Android,0,5,2013-04-30T12:13:07Z,FALSE
3.2788449799349043e+017,@piano807 Wow!,FALSE,FALSE,Twitter Web Client,0,2,2013-04-26T20:38:50Z,FALSE
326366734594486300,@TheNordicBroad Thank you.,FALSE,FALSE,Twitter Web Client,1,1,2013-04-22T16:07:47Z,FALSE
314072058915074050,@__Jibz True!,FALSE,FALSE,Twitter Web Client,1,1,2013-03-19T17:53:08Z,FALSE
305080479038726140,@Shopgirlusa. Good idea.,FALSE,FALSE,Twitter for Android,1,0,2013-02-22T22:23:48Z,FALSE
302167972942839800,@mandielaurin Good!,FALSE,FALSE,Twitter Web Client,2,1,2013-02-14T21:30:33Z,FALSE
299178408695451650,@moogoo3544 Thanks.,FALSE,FALSE,Twitter Web Client,0,1,2013-02-06T15:31:05Z,FALSE
296366105700741100,@ridetheory  Horses went up also!,FALSE,FALSE,Twitter Web Client,18,14,2013-01-29T21:16:00Z,FALSE
296365762040447e3,@LynnFiorenzano Thanks Lynn!,FALSE,FALSE,Twitter Web Client,1,1,2013-01-29T21:14:38Z,FALSE
294443848799772700,@SecurityLecture  That is not the reason.,FALSE,FALSE,Twitter Web Client,0,3,2013-01-24T13:57:38Z,FALSE
289417133715234800,@Seame_huntin EST,FALSE,FALSE,Twitter Web Client,0,0,2013-01-10T17:03:16Z,FALSE
533015168478089200,#TrumpAdvice http://t.co/U83aDNTVVP,FALSE,FALSE,Instagram,79,51,2014-11-13T21:54:53Z,FALSE
525670712317452300,#TrumpVlog Obama should be ashamed! http://t.co/gCUgltxyzn,FALSE,FALSE,Instagram,105,96,2014-10-24T15:30:38Z,FALSE
4.9675608248917197e+017,SECURE THE BORDER! BUILD A WALL!,FALSE,FALSE,Twitter Web Client,1432,1286,2014-08-05T20:34:14Z,FALSE
476521526272225300,Tea Party takes down Eric Cantor - REALLY BIG WIN!,FALSE,FALSE,Twitter for Android,260,208,2014-06-11T00:29:19Z,FALSE
435181315441582100,"@loveandgarbage  Never said it, a total misquote.",FALSE,FALSE,Twitter for Android,11,20,2014-02-16T22:38:05Z,FALSE
432853808797196300,@dualheadedeagle  True and thanks!,FALSE,FALSE,Twitter for Android,1,3,2014-02-10T12:29:24Z,FALSE
674772697113567200,.@donlemon on @CNN at 10:00 P.M.,FALSE,FALSE,Twitter for Android,1473,569,2015-12-10T02:08:42Z,FALSE
652610045130219500,Mark--They could use you.  https://t.co/tOJ3ecOjNZ,FALSE,FALSE,Twitter Web Client,2425,1146,2015-10-09T22:22:14Z,FALSE
651503406142607400,True! https://t.co/v3Y6exaQGY,FALSE,FALSE,Twitter Web Client,1225,455,2015-10-06T21:04:51Z,FALSE
637334613384372200,Thank you @AmSpec http://t.co/BpybnpXMc9,FALSE,FALSE,Twitter Web Client,910,410,2015-08-28T18:43:07Z,FALSE
6.2096649266704794e+017,Response to Hillary Clinton- http://t.co/nzYfehyURa,FALSE,FALSE,Twitter Web Client,660,437,2015-07-14T14:42:03Z,FALSE
610485299781726200,"Will do, thanks.  https://t.co/5Zc3D8YLNs",FALSE,FALSE,Twitter Web Client,108,31,2015-06-15T16:33:32Z,FALSE
609456677738385400,Thank you. https://t.co/EUpOjm2WvT,FALSE,FALSE,Twitter Web Client,36,23,2015-06-12T20:26:09Z,FALSE
609018922130538500,Thank you. https://t.co/iLMv2vOez7,FALSE,FALSE,Twitter Web Client,38,17,2015-06-11T15:26:40Z,FALSE
596068674731114500,#TrumpAdvice https://t.co/Fox2rHNxHa,FALSE,FALSE,Twitter Web Client,45,27,2015-05-06T21:47:01Z,FALSE
554805303028772860,Let's go! #CelebApprentice,FALSE,FALSE,Twitter for iPhone,204,91,2015-01-13T01:01:06Z,FALSE
552564477020094460,.@JuddApatow I agree!,FALSE,FALSE,Twitter Web Client,23,11,2015-01-06T20:36:52Z,FALSE
803343150907617300,Just met with General Petraeus--was very impressed!,FALSE,FALSE,Twitter Web Client,56944,11039,2016-11-28T21:01:47Z,FALSE
792176315478609900,Just landed in Iowa - speaking soon!,FALSE,FALSE,Twitter for Android,19758,5237,2016-10-29T01:28:46Z,FALSE
788765196584038400,It is time to #DrainTheSwamp!https://t.co/U2XeM2vDJK,FALSE,FALSE,Twitter for iPhone,14671,7728,2016-10-19T15:34:12Z,FALSE
786589172911964200,Thank you! #MAGA #AmericaFirst https://t.co/fG313wjlKm,FALSE,FALSE,Twitter for iPhone,25660,11527,2016-10-13T15:27:27Z,FALSE
777825186758418400,Will be on @foxandfriends at 7:02 A.M.  Enjoy.,FALSE,FALSE,Twitter for Android,9042,1685,2016-09-19T11:02:30Z,FALSE
772036179420127200,#ImWithYou https://t.co/I8dHzezmY4,FALSE,FALSE,Twitter for iPad,24150,10220,2016-09-03T11:39:03Z,FALSE
771294347501461500,Mexico will pay for the wall!,FALSE,FALSE,Twitter for Android,55318,35547,2016-09-01T10:31:17Z,FALSE
755927861878460400,#AmericaFirst #RNCinCLE https://t.co/PvdTA8HTCC,FALSE,FALSE,Twitter for iPhone,10480,3818,2016-07-21T00:50:21Z,FALSE
741351028273086500,#FlashbackFriday #CrookedHillary https://t.co/pvrBb7v4NG,FALSE,FALSE,Twitter for iPhone,17153,8575,2016-06-10T19:27:13Z,FALSE
725380639269228500,Thanks Dave! https://t.co/NaPPQNjVi2,FALSE,FALSE,Twitter for iPhone,7286,2013,2016-04-27T17:46:35Z,FALSE
725380064272105500,Thanks! https://t.co/5jiSyvQiNj,FALSE,FALSE,Twitter for iPhone,7142,1970,2016-04-27T17:44:18Z,FALSE
713033155989610500,Endorsements for Lyin' Ted Cruz- https://t.co/c3QEbexOwT,FALSE,FALSE,Twitter Web Client,8395,3209,2016-03-24T16:02:06Z,FALSE
711046719421550600,Landing in Phoenix now. Tomorrow's events will be amazing! #Trump2016,FALSE,FALSE,Twitter for iPhone,8040,2056,2016-03-19T04:28:43Z,FALSE
